date,c_open,c_close,flux
2014-8-4 22:23:27.232,31.968,25.295,-0.09
2014-8-4 23:27:34.732,27.275,20.533,-0.09
2014-8-5 1:35:27.232,30.798,26.914,-0.05
2014-8-5 2:39:20.332,23.448,6.2114,-0.24
2014-8-5 4:47:1.132,14.033,10.313,-0.05
2014-8-5 5:50:50.632,20.867,11.865,-0.13
2014-8-5 6:54:37.432,18.805,15.849,-0.04
2014-8-5 9:2:10.132,13.55,7.7083,-0.08
2014-8-5 10:5:56.932,34.385,27.261,-0.1
2014-8-5 11:9:58.132,44.541,36.175,-0.12
2014-8-5 12:2:19.132,51.133,44.357,-0.09
2014-8-5 15:18:19.509,58.888,37.495,-0.3
2014-8-5 16:21:59.109,51.626,31.723,-0.28
2014-8-5 17:25:40.509,49.086,32.654,-0.23
2014-8-5 20:36:29.409,43.715,9.8779,-0.47
2014-8-6 0:52:37.809,20.907,14.164,-0.09
2014-8-6 3:0:18.609,13.791,7.1225,-0.09
2014-8-6 4:4:7.209,20.139,11.483,-0.12
2014-8-6 5:7:56.709,22.986,14.886,-0.11
2014-8-6 7:15:35.709,11.57,7.0254,-0.06
2014-8-6 12:35:0.309,50.563,33.444,-0.24
2014-8-6 17:55:32.409,41.706,19.799,-0.3
2014-8-6 18:59:38.109,49.6,32.539,-0.24
2014-8-6 20:3:43.809,44.741,30.611,-0.2
2014-8-6 22:12:0.609,26.504,12.13,-0.2
2014-8-6 23:16:6.309,19.168,10.408,-0.12
2014-8-7 1:24:2.409,33.993,11.659,-0.31
2014-8-7 2:27:56.409,20.498,11.325,-0.13
2014-8-7 3:31:47.709,21.621,6.7667,-0.21
2014-8-7 4:35:35.409,14.875,8.7449,-0.09
2014-8-7 5:39:25.809,12.643,10.942,-0.02
2014-8-7 6:43:15.309,10.807,7.2114,-0.05
2014-8-7 7:47:8.409,15.604,9.65,-0.08
2014-8-7 8:51:0.609,24.17,11.796,-0.17
2014-8-7 9:54:53.709,36.232,29.116,-0.1
2014-8-7 10:58:58.509,41.472,35.039,-0.09
2014-8-7 13:7:7.209,50.579,37.979,-0.18
2014-8-7 15:15:19.509,46.037,27.67,-0.26
2014-8-7 16:19:26.109,49.734,30.193,-0.27
2014-8-7 17:23:34.509,52.333,33.457,-0.26
2014-8-7 18:27:42.909,49.743,36.686,-0.18
2014-8-7 19:31:49.509,48.485,31.428,-0.24
2014-8-7 20:35:57.909,42.683,31.924,-0.15
2014-8-7 21:40:9.909,33.184,21.562,-0.16
2014-8-7 22:44:23.709,29.14,20.991,-0.11
2014-8-7 23:48:32.109,27.786,20.204,-0.11
2014-8-8 0:52:28.809,23.936,14.868,-0.13
2014-8-8 1:56:22.809,16.332,10.699,-0.08
2014-8-8 3:0:15.909,14.678,2.6319,-0.17
2014-8-8 4:4:8.109,17.288,10.673,-0.09
2014-8-8 5:8:1.209,14.897,7.8007,-0.1
2014-8-8 6:11:52.509,11.541,7.2754,-0.06
2014-8-8 7:15:42.909,10.007,7.7568,-0.03
2014-8-8 8:19:30.609,17.527,11.411,-0.09
2014-8-8 9:23:21.909,30.329,23.083,-0.1
2014-8-8 10:27:21.309,41.571,33.634,-0.11
2014-8-8 11:31:30.609,48.375,37.578,-0.15
2014-8-8 12:2:36.309,59.213,34.812,-0.34
2014-8-8 20:15:39.797,38.484,25.323,-0.18
2014-8-9 0:31:50.897,24.405,11.717,-0.18
2014-8-9 1:36:2.897,28.563,22.064,-0.09
2014-8-9 3:44:18.797,37.574,27.752,-0.14
2014-8-9 4:48:27.197,34.182,23.064,-0.15
2014-8-9 5:52:38.297,31.605,13.255,-0.26
2014-8-9 9:5:4.397,41.602,27.585,-0.2
2014-8-9 11:13:33.797,50.914,37.059,-0.19
2014-8-9 16:34:52.697,61.406,47.26,-0.2
2014-8-9 17:39:11.897,54.337,27.25,-0.38
2014-8-9 18:43:29.297,52.734,33.934,-0.26
2014-8-9 19:47:48.497,46.688,31.267,-0.21
2014-8-9 20:52:9.497,26.436,11.181,-0.21
2014-8-9 23:0:46.997,29.846,11.801,-0.25
2014-8-10 0:5:4.397,31.042,21.435,-0.13
2014-8-10 1:9:21.797,33.56,20.809,-0.18
2014-8-10 2:13:40.997,28.184,21.48,-0.09
2014-8-10 3:18:1.997,32.035,23.605,-0.12
2014-8-10 4:22:16.697,31.367,20.298,-0.15
2014-8-10 5:26:30.497,31.23,11.286,-0.28
2014-8-10 6:30:44.297,26.739,15.833,-0.15
2014-8-10 7:34:56.297,27.537,19.225,-0.12
2014-8-10 10:47:44.897,56.458,50.42,-0.08
2014-8-10 11:52:16.697,55.602,44.835,-0.15
2014-8-10 12:56:52.997,61.566,39.202,-0.31
2014-8-10 14:1:22.997,63.076,48.568,-0.2
2014-8-10 17:14:46.697,60.675,40.05,-0.29
2014-8-10 18:19:12.197,58.373,41.007,-0.24
2014-8-10 19:23:41.297,59.855,42.67,-0.24
2014-8-10 20:28:13.997,43.498,14.48,-0.4
2014-8-10 21:32:49.397,38.634,17.723,-0.29
2014-8-10 22:37:23.897,36.976,27.458,-0.13
2014-8-10 23:41:56.597,27.691,22.614,-0.07
2014-8-11 0:46:20.297,29.342,20.718,-0.12
2014-8-11 3:59:19.697,27.936,9.2432,-0.26
2014-8-11 5:3:39.797,24.774,6.9417,-0.25
2014-8-11 6:8:0.797,21.064,12.688,-0.12
2014-8-11 7:12:17.297,16.828,9.3462,-0.1
2014-8-11 8:16:33.797,29.859,18.645,-0.16
2014-8-11 9:20:52.997,30.527,21.767,-0.12
2014-8-11 10:25:19.397,37.477,22.386,-0.21
2014-8-11 11:30:0.197,51.612,35.741,-0.22
2014-8-11 12:34:43.697,59.293,37.438,-0.3
2014-8-11 13:39:31.697,58.241,39.089,-0.27
2014-8-11 16:53:46.697,60.888,46.84,-0.2
2014-8-12 4:44:20.597,15.202,10.991,-0.06
2014-8-12 5:49:0.497,17.208,10.92,-0.09
2014-8-12 7:57:19.997,15.7,14.948,-0.01
